datetime,user_id,order_amount,period
2026-06-01 00:00:37,user_758,1581.21,history
2026-06-01 00:00:59,user_2491,3198.91,history
2026-06-01 00:03:04,user_1603,4703.49,history
2026-06-01 00:03:29,user_800,1156.85,history
2026-06-01 00:03:44,user_5363,1992.15,history
2026-06-01 00:04:50,user_2091,926.12,history
2026-06-01 00:06:44,user_58,3008.1,history
2026-06-01 00:07:09,user_5626,2443.46,history
2026-06-01 00:10:04,user_5088,2823.08,history
2026-06-01 00:12:07,user_626,3047.89,history
2026-06-01 00:16:34,user_5313,6165.68,history
2026-06-01 00:17:56,user_1976,1891.68,history
2026-06-01 00:19:37,user_2088,3830.33,history
2026-06-01 00:21:26,user_4390,4777.35,history
2026-06-01 00:22:35,user_1793,4017.3,history
2026-06-01 00:27:11,user_5132,7891.1,history
2026-06-01 00:27:56,user_2287,2121.47,history
2026-06-01 00:28:19,user_4759,3118.39,history
2026-06-01 00:28:42,user_2054,3396.21,history
2026-06-01 00:29:19,user_3683,2558.49,history
2026-06-01 00:30:25,user_1730,2172.86,history
2026-06-01 00:34:21,user_4978,3866.6,history
2026-06-01 00:36:15,user_1139,1598.55,history
2026-06-01 00:39:15,user_1568,10983.89,history
2026-06-01 00:45:00,user_1944,4526.37,history
2026-06-01 00:45:59,user_4666,7245.9,history
2026-06-01 00:48:45,user_3475,2657.95,history
2026-06-01 00:51:36,user_5731,3261.77,history
2026-06-01 00:54:27,user_40,2404.98,history
2026-06-01 00:56:40,user_2136,2808.66,history
2026-06-01 00:57:48,user_1849,3791.57,history
2026-06-01 01:01:27,user_5660,2261.52,history
2026-06-01 01:01:46,user_3159,2111.5,history
2026-06-01 01:03:26,user_5917,2497.76,history
2026-06-01 01:03:45,user_1570,3023.85,history
2026-06-01 01:06:29,user_4819,1163.45,history
2026-06-01 01:08:56,user_506,2989.15,history
2026-06-01 01:12:11,user_705,2067.45,history
2026-06-01 01:14:20,user_3838,1804.63,history
2026-06-01 01:15:07,user_745,6255.61,history
2026-06-01 01:16:06,user_5924,1715.05,history
2026-06-01 01:18:46,user_3355,1762.01,history
2026-06-01 01:20:19,user_4017,3776.38,history
2026-06-01 01:24:10,user_1646,6546.49,history
2026-06-01 01:26:05,user_4605,2326.82,history
2026-06-01 01:26:34,user_4459,4349.58,history
2026-06-01 01:27:23,user_4908,4823.06,history
2026-06-01 01:28:36,user_3219,7529.25,history
2026-06-01 01:37:41,user_4455,2396.02,history
2026-06-01 01:39:47,user_5343,6973.76,history
2026-06-01 01:44:36,user_5910,2940.04,history
2026-06-01 01:44:46,user_2875,1711.35,history
2026-06-01 01:48:24,user_2239,1221.27,history
2026-06-01 01:48:51,user_2034,4748.7,history
2026-06-01 01:49:18,user_5089,2101.12,history
2026-06-01 01:52:52,user_3458,1539.24,history
2026-06-01 01:55:49,user_61,4268.67,history
2026-06-01 01:57:22,user_3453,2578.61,history
2026-06-01 01:58:06,user_720,2906.46,history
2026-06-01 01:58:40,user_5775,1439.28,history
2026-06-01 02:00:12,user_3705,3034.34,history
2026-06-01 02:01:10,user_4724,3681.85,history
2026-06-01 02:01:20,user_5108,3601.5,history
2026-06-01 02:05:55,user_4581,2695.17,history
2026-06-01 02:08:03,user_5896,2544.5,history
2026-06-01 02:08:31,user_1222,4478.71,history
2026-06-01 02:09:09,user_1366,3776.84,history
2026-06-01 02:09:31,user_1798,5046.26,history
2026-06-01 02:09:59,user_1743,2417.71,history
2026-06-01 02:11:38,user_2218,2863.62,history
2026-06-01 02:12:34,user_4479,2812.15,history
2026-06-01 02:12:36,user_4995,2624.69,history
2026-06-01 02:13:20,user_2100,7627.37,history
2026-06-01 02:13:34,user_2301,7291.31,history
2026-06-01 02:18:34,user_635,3493.05,history
